,p_sgEGR1_3,p_sgEGR1_2,p_sgEGR1_4,p_sgCREB1_2,p_sgNR2C2_2,p_sgNR2C2_3,p_sgNR2C2_5,p_sgCREB1_4,p_sgCREB1_5,p_sgYY1_3,p_sgGABPA_1,p_sgIRF1_2,p_sgIRF1_3,p_sgELK1_7,p_sgELK1_6,p_sgELF1_2,p_sgYY1_10,p_sgELF1_1,p_sgETS1_5,p_sgETS1_3,p_sgGABPA_9,p_sgELF1_4,p_sgELF1_5,p_sgELK1_1,p_sgE2F4_6,p_sgE2F4_7
ATAD3B,-0.00775161,0.016295748,0.006191128,0,-0.027902832,0,0.012988904,0.022244491,0,0,0,0.010206581,0,0,-0.005254534,0,-0.022843068,0.00015005,-0.021769966,-3.49E-05,0.024648732,-0.017802857,0.020220762,-0.020677763,0.031186857,0
ATAD3A,0.006005648,0,-0.017423243,0.028894509,0.038731386,0.023809347,0.008854913,-0.002332828,-0.016944718,-0.048001378,0.022205491,-0.038297499,0,-0.003911213,-0.017661616,0.009440646,-0.037364,0.019890103,-0.019286683,0.013604225,-0.011272007,0.002674477,0.006688003,-0.002323083,0.047409282,-0.035339164
SSU72,0,-0.00113506,0.033417485,-0.017080667,-0.072014561,0.039654891,-0.052183835,0.005333811,0.034329375,-0.15097161,0.035997061,0.033257492,0,-0.037624059,0.005338067,0,-0.143915396,-0.016229661,0.003688503,0,-0.013235003,0.002921761,0,-0.003830575,0.032266585,0
AL645728.1,0,0,0.016127739,0,0,0,-0.002543307,0,0,-0.004768779,0,0.006004385,0,0,0,-0.005140947,0,-0.001164097,0,0.000273682,0.00024352,0.001498431,0,0,0.01029961,0.004089964
C1orf233,0,0,0,0,0,0,0,0,0.001595893,0,0,0,0,0,0.002980154,0,0,0,0,-0.005225221,0,0,0,0,0,0
RP11-345P4.9,0,-0.010684218,-0.010921299,0,0,0.001597977,0.001718726,-0.000225079,0,-0.004810912,0,0,-0.00339233,0,0.003803223,0.004246898,0,0,0,0,0,-0.005509677,0,0.005685572,0,0.022317348
MIB2,0,-0.002499383,0.014478833,-0.006529823,0,0,0,0,0.012924587,0.004694655,0.009109736,0.002934092,-0.012263418,0,-0.001121508,0.011580217,0,-0.003147881,0,0.008232044,0,-0.003956432,0.00248332,0,0,-0.009647091
MMP23B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDK11B,-0.026326162,0,0.017445896,0,-0.021414984,0,0.033789088,-0.025460329,0.013326772,-0.013831631,0,-0.015439623,0.00620549,-0.001290253,0,-0.025995512,-0.00612007,-0.008248418,0.003486054,0.030800245,-0.020795289,0.026360543,0.001927046,0.020262627,0.01101963,0
RP11-345P4.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC35E2B,0,-0.002738002,0.007774457,0,0,0.003120642,0,0,-0.00750943,0,-0.004450513,-0.002464961,0,0.004485193,0,-0.005071423,0,0,0,0,0,0,-0.00702365,0.001999038,0,-0.002312783
RP11-345P4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDK11A,-0.026273439,0.022298264,-0.001512532,0,0,0,0.022120068,0.006192706,0.01442164,-0.01740387,0,-0.00245973,0.003126382,-0.016666534,0.004954954,0,-0.046322577,-0.000218657,-0.001971612,0.017572726,-0.006054754,-0.007378776,-0.016373862,0.007117232,0,0.004001457
SLC35E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000517688,0,0,0,0
NADK,-0.011854607,0,0,0.005021647,0.019700594,0,0.000199916,-0.019729356,0,-0.058963329,-0.001021048,-0.005586956,0.02980981,-0.005547216,-0.024568382,0,0,0.003397803,-0.000345935,0,0,0.012864195,0.013010332,-0.012147528,0.006087283,0
GNB1,0,0.067798349,0,-0.009969822,0,0,0.000775489,-0.015285754,0,-0.026485174,0,-0.003609021,-0.025735418,-0.009279699,0.019150754,-0.008844262,0.031504515,0.011437549,0.001870257,0.029281599,-0.025768725,0.01054614,-0.017750103,-0.030404375,0.020584902,-0.001686846
RP1-140A9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALML6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM52,-0.001882042,0,0,-0.011701801,0,0.008235037,0,0,0.008409665,-0.007185297,0.003588953,0,0,-0.01605448,-0.009515847,0,-0.000345458,0,0,0.009708115,0.010756251,0.001941487,0.003978521,0.002697666,0,0.019006914
C1orf222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKCZ,0,0,0,0,0,0,0,0,0.004259755,0.003651062,0,-0.002367011,-1.14E-06,0,0,-0.005907325,0,0.017765793,0.00548243,0,0,0,0.001516679,0,0.001801271,-0.005198266
RP5-892K4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-181G12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAAP20,-0.008590761,0.014041672,-0.018768974,-0.000782682,0.002058788,0,-0.023350815,-0.079231894,-0.02438838,-0.020602862,-0.059689029,0.033627838,-0.001801726,0,-0.014331189,0.011601634,-0.040013491,0.05060448,-0.000819969,-0.028661887,-0.045251954,0.043550121,0.064210708,0.003967834,0.021420816,0.016819423
AL590822.2,0,0,0,0,0,0,0,0,0,0,0.000229333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL590822.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-181G12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKI,0,0,0.007033463,0.017079686,0,-0.043026628,0,0.005564703,-0.005075752,0,0.011553696,-0.003503291,0.001435016,0,-0.001562272,0.002382327,0,-0.018999172,0,0,0,-0.017365017,0,-0.019911883,0,0
MORN1,0.010088701,0,0,0.015603971,0,0,0.003903719,0.003458366,0,0.00350833,-9.24E-05,0,0,0,-0.002468986,0,0.02005301,0,-0.003111423,-0.001840563,0,0,0,0,0,-0.00372736
RER1,-0.029946576,0,0.034558883,-0.020957026,0,0,0.046028369,0,0.021620937,-0.021230959,-0.007874898,-0.043079002,0.001514089,0.007730137,-0.0095569,-0.011764211,-0.043221603,0,0.052473253,0,0.040953096,0,-0.02733542,-0.018539242,0.011120127,-0.004700153
PEX10,-8.73E-05,-0.017018174,0,-0.007961297,0,0,0.003845135,0,0,0,-0.014070016,0,0.013035139,0,0.008963987,0,0,0.004117958,0,0,0,0.008787299,-0.004988515,0.002239687,0,0
PLCH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANK4,0.009705163,0,-0.004321915,-0.003906985,0,0,0,-0.007192883,0,0,-0.002738434,0.003237339,-0.009672229,0.00903244,0,0,0.004514204,0,0.005029363,0,0,0.004486201,-0.00127694,-0.014256822,0,0
HES5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP3-395M20.12,0,0,0,0,0,0,0,0,0.004065515,-0.002913683,0.002244079,0,0,0,0.002303492,0.002351638,-0.018162379,-0.001788771,-0.006016221,-0.005147906,0,0,0,0,-0.009774077,0
TNFRSF14,0,0,-0.000132093,0.001194655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296128,0
RP3-395M20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM213B,-0.01105949,-0.003660537,0.00239599,0,0,0,0,-0.002257658,0,-0.007604338,0.009481591,0,0,0,0,0,0.008718399,0,-0.002704812,0.003054223,0.013472507,-0.000704298,-0.005370612,0.008733956,0,0.001345257
TTC34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-46F15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPRG1L,0.00772343,-0.009850046,-0.00044512,0.002334315,0,0,0.017375598,0,0,0.000583332,0,0,0,0.005980114,-0.001693203,0.002097942,0,0,-0.001246659,0.00172401,0,0,-0.010466439,0,-0.005513028,0
